Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x7.7",204.470000,-86.995000,0.000000,top
"C2","100nF","C_0805_2012Metric",185.420000,-69.850000,90.000000,top
"C3","1uF","C_0805_2012Metric",196.215000,-88.900000,270.000000,top
"C4","1uF","C_0805_2012Metric",193.675000,-88.900000,270.000000,top
"C5","20pF","C_0805_2012Metric",202.565000,-80.264000,0.000000,top
"C6","20pF","C_0805_2012Metric",202.565000,-73.787000,180.000000,top
"C7","100uF","CP_Elec_6.3x7.7",99.695000,-72.390000,90.000000,top
"C8","1uF","C_0805_2012Metric",80.010000,-80.010000,180.000000,top
"C9","100nF","C_0805_2012Metric",168.910000,-69.850000,270.000000,top
"C10","100nF","C_0805_2012Metric",213.995000,-64.770000,180.000000,top
"C11","100nF","C_0805_2012Metric",44.450000,-88.900000,270.000000,top
"C12","100nF","C_0805_2012Metric",62.230000,-114.300000,90.000000,top
"C13","100nF","C_0805_2012Metric",74.930000,-88.900000,270.000000,top
"C14","100nF","C_0805_2012Metric",92.710000,-114.300000,90.000000,top
"C15","100nF","C_0805_2012Metric",105.410000,-88.900000,270.000000,top
"C16","100nF","C_0805_2012Metric",107.950000,-114.300000,90.000000,top
"C17","100nF","C_0805_2012Metric",149.860000,-79.451200,90.000000,top
"C18","100nF","C_0805_2012Metric",133.350000,-114.300000,90.000000,top
"C19","100nF","C_0805_2012Metric",80.010000,-82.550000,180.000000,top
"C20","100nF","C_0805_2012Metric",176.530000,-69.850000,270.000000,top
"C21","100nF","C_0805_2012Metric",151.130000,-88.900000,270.000000,top
"C22","100nF","C_0805_2012Metric",168.910000,-114.300000,90.000000,top
"C23","100nF","C_0805_2012Metric",181.610000,-88.900000,270.000000,top
"C24","100nF","C_0805_2012Metric",199.390000,-114.300000,90.000000,top
"C25","100nF","C_0805_2012Metric",229.870000,-114.300000,90.000000,top
"C26","100nF","C_0805_2012Metric",227.838000,-88.900000,270.000000,top
"C27","100uF","CP_Elec_6.3x7.7",60.960000,-72.390000,90.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.590000,-98.425000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.590000,-104.775000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",29.210000,-104.775000,180.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",29.210000,-98.425000,180.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.830000,-98.425000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",36.830000,-104.775000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.450000,-104.775000,180.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",44.450000,-98.425000,180.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.070000,-98.425000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.070000,-104.775000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",59.690000,-104.775000,180.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",59.690000,-98.425000,180.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.310000,-98.425000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",67.310000,-104.775000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.930000,-104.775000,180.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",74.930000,-98.425000,180.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",82.550000,-98.425000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",82.550000,-104.775000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.170000,-104.775000,180.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",90.170000,-98.425000,180.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.790000,-98.425000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",97.790000,-104.775000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",105.410000,-104.775000,180.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",105.410000,-98.425000,180.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",113.030000,-98.425000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",113.030000,-104.775000,0.000000,top
"D27","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",120.650000,-104.775000,180.000000,top
"D28","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",120.650000,-98.425000,180.000000,top
"D29","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.270000,-98.425000,0.000000,top
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",128.270000,-104.775000,0.000000,top
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",135.890000,-104.775000,180.000000,top
"D32","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",135.890000,-98.425000,180.000000,top
"D33","MBRS240LT3G","D_SMB",145.415000,-82.550000,90.000000,top
"D34","MBRS240LT3G","D_SMB",119.380000,-76.200000,0.000000,top
"D35","LED_PWR","LED_0805_2012Metric",80.010000,-77.470000,180.000000,top
"D36","LED_BLNK","LED_0805_2012Metric",196.215000,-65.786000,90.000000,top
"D37","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",143.510000,-98.425000,0.000000,top
"D38","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",143.510000,-104.775000,0.000000,top
"D39","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",151.130000,-104.775000,180.000000,top
"D40","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",151.130000,-98.425000,180.000000,top
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",158.750000,-98.425000,0.000000,top
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",158.750000,-104.775000,0.000000,top
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",166.370000,-104.775000,180.000000,top
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",166.370000,-98.425000,180.000000,top
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.990000,-98.425000,0.000000,top
"D46","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.990000,-104.775000,0.000000,top
"D47","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.610000,-104.775000,180.000000,top
"D48","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",181.610000,-98.425000,180.000000,top
"D49","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.230000,-98.425000,0.000000,top
"D50","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",189.230000,-104.775000,0.000000,top
"D51","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",196.850000,-104.775000,180.000000,top
"D52","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",196.850000,-98.425000,180.000000,top
"D53","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.470000,-98.425000,0.000000,top
"D54","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.470000,-104.775000,0.000000,top
"D55","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",212.090000,-104.775000,180.000000,top
"D56","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",212.090000,-98.425000,180.000000,top
"D57","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",219.710000,-98.425000,0.000000,top
"D58","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",219.710000,-104.775000,0.000000,top
"D59","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",227.330000,-104.775000,180.000000,top
"D60","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",227.330000,-98.425000,180.000000,top
"D61","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",234.950000,-98.425000,0.000000,top
"D62","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",234.950000,-104.775000,0.000000,top
"D63","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",242.570000,-104.775000,180.000000,top
"D64","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",242.570000,-98.425000,180.000000,top
"D65","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.190000,-98.425000,0.000000,top
"D66","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",250.190000,-104.775000,0.000000,top
"D67","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",257.810000,-104.775000,180.000000,top
"D68","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",257.810000,-98.425000,180.000000,top
"P1","LED_IN","PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left",50.800000,-78.740000,0.000000,top
"P2","FTDI","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",175.260000,-63.500000,270.000000,top
"P4","LED_OUT","PinSocket_1x04_P2.54mm_Vertical_SMD_Pin1Left",228.600000,-78.740000,0.000000,top
"P6","USB_header","PinHeader_2x04_P2.54mm_Vertical_SMD",158.115000,-76.835000,90.000000,top
"R1","10k","R_0805_2012Metric",179.070000,-69.850000,270.000000,top
"R2","10k","R_0805_2012Metric",175.895000,-88.900000,90.000000,top
"R3","10k","R_0805_2012Metric",178.435000,-88.900000,90.000000,top
"R4","10k","R_0805_2012Metric",191.135000,-88.900000,90.000000,top
"R5","5k11","R_0805_2012Metric",165.735000,-80.645000,90.000000,top
"R6","5k11","R_0805_2012Metric",165.735000,-76.835000,270.000000,top
"R7","1k","R_0805_2012Metric",80.010000,-74.930000,180.000000,top
"R8","1k","R_0805_2012Metric",198.882000,-65.786000,90.000000,top
"R9","220E","R_0805_2012Metric",71.120000,-77.470000,0.000000,top
"R10","220E","R_0805_2012Metric",71.120000,-80.010000,0.000000,top
"R11","0E","R_0805_2012Metric",71.120000,-74.930000,0.000000,top
"SW1","RST","SW_Push_1P1T_NO_6x6mm_H9.5mm",172.720000,-76.200000,180.000000,top
"SW2","MODE","PinHeader_2x02_P2.54mm_Vertical_SMD",187.960000,-118.110000,180.000000,top
"U1","ATMEGA328","TQFP-32_7x7mm_P0.8mm",190.500000,-78.740000,135.000000,top
"U2","LM1117-5.0","SOT-223-3_TabPin2",90.170000,-80.010000,180.000000,top
"X1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",201.295000,-76.962001,90.000000,top
